,Comments,Date,Likes
0,I love it a true martial artist seeming to base a fight organization around being a fighter and what that means not a new WWE.  No heels no storylines that are inflated egos or simply not true just the honest truth and brutal clarity that comes from being a martial artist.  One love,2023-09-30T18:09:50Z,0
1,"Love this guy, class all the way !!",2023-09-30T17:14:22Z,0
2,"They are selling fights, we are unleashing heroes.... boooooommmm!",2023-09-30T14:32:13Z,0
3,UFC is overrated.🤬,2023-09-30T03:53:16Z,0
4,Screw Dana 💩,2023-09-30T03:51:03Z,0
5,How did he get into Harvard though?,2023-09-29T19:31:13Z,0
6,MONOPOLY IS A GAME... IT SHOULDN'T BE A LIVING REALITY! TM: MIKE SINCLAIR,2023-09-29T19:01:04Z,0
7,I really like and respect this man. I’ve been a fan of ONE the last few years and I appreciate the professionalism and respect their fighters display.,2023-09-29T16:56:10Z,0
8,"Beautiful video Gavia thank you so much. The world is a better place because of Chatri. When I heard about what is unique about ONE Championship I was so happy. To see fighters respecting each other so much... after all the media bullshit we know from the west, this was a relief I never would have thought would come to the world.",2023-09-29T16:18:19Z,0
9,I think it was a big factor that UFC went full greedy with limiting viewership to PPV and Pay TV.,2023-09-29T15:21:21Z,0
10,That's a pair of bad parents right there. :D,2023-09-29T15:02:41Z,0
11,"hes 100% respectable, hes doing great work",2023-09-29T11:49:22Z,0
12,He never gave up no matter the odds,2023-09-29T11:36:29Z,0
13,The mom trying to speak English is hilarious. At 15:46 she tries to say philosophical and it is the best.,2023-09-29T11:15:11Z,0
14,Dana White is terrible to the MMA industry. No honor or respect for the art or the fighters,2023-09-29T05:24:22Z,0
15,God I hope one championship absorbs UFC. Also hope Dana White ends up in a gutter somewhere,2023-09-29T01:04:19Z,0
16,One champion last fighter standing reality show,2023-09-29T00:36:09Z,0
17,I smell mafia/ country leaders all over this guy.,2023-09-28T23:13:27Z,0
18,I can't believe what I see... It's beautiful. thank you Patrick. He's a champion.,2023-09-28T20:03:12Z,0
19,Never heard of it,2023-09-28T15:36:43Z,0
20,"Is incogni his 1st business lol

They should have covered what he sold for 20m",2023-09-28T14:00:30Z,0
21,"The video was very entertaining, captivating, and inspirational.",2023-09-28T13:09:00Z,0
22,"Who gives a fuck and everyone know Dana's jealous, I'm here for music not documentary",2023-09-28T12:00:29Z,0
23,I stopped watching UFC about 8hrs ago because I couldn’t stand Dana White anymore. He’s just a pompous entitled douche that avoids paying his fighters. So I want ONE to succeed.,2023-09-28T10:24:30Z,0
24,One Championship Come On🙏🙏,2023-09-28T06:14:26Z,0
25,"Its MOM. The beautiful word Mother❤❤❤. Mom, the angel😭😭",2023-09-28T06:07:22Z,0
26,"Hydration checks and more realistic fighting rules.  Muaythai with mma gloves was the best thing to ever happen.  

A former Muaythai fighter and BJJ brown belt.  Chatri is the real deal.",2023-09-28T00:21:17Z,0
27,"Chatri is not a threat to the UFC. He's a competition for sure, but not a threat. That's way too big of a statement bud.",2023-09-27T23:23:28Z,0
28,i support this man,2023-09-27T21:32:18Z,0
29,Cant feed theirselves but can afford to fly.......,2023-09-27T20:04:39Z,0
30,What an epic documentary! Well played Sir. I have new found respect for One and Chatri. Its impossible to say they don't deserve it and all the success to come 💪,2023-09-27T20:00:13Z,0
31,Dana white is salty when he sees potential rival.,2023-09-27T17:34:25Z,0
32,Saudi is the real threat,2023-09-27T13:59:37Z,0
33,but why are you discrediting IPL?It was worth $4billion dollar in 2011 and very  popular in south asia,2023-09-27T08:57:15Z,0
34,"ONE is so much more fun to watch. Only brutal fights, many fighters. Watched the first time ONE on the weekend Friday night 34 in Bangkok. That was Insane.",2023-09-27T06:02:22Z,0
35,"If you make excel sheets in the 90""s, how would you have gotten a computer or access to computers or ""portable"" storage back then?",2023-09-26T22:28:41Z,0
36,You think james krause was the first and last? Its amazing the govt didnt get involved in onvestigating but it makes sense bcuz it makes money 😅,2023-09-26T21:24:21Z,0
37,These guys aren’t even credentialed to sanction fights. MMA is the most trash industry in the world. Nothing but dumbasses that don’t make any money.,2023-09-26T14:34:27Z,0
38,Nice to see something better coming up than the scumbag greedy ufc,2023-09-26T13:44:42Z,0
39,I wonder if he likes trump like dana does?,2023-09-26T12:35:47Z,0
40,Ya ya we have seen 100’s of videos of childhood and families and tough times. Nothing about this dude is unique.,2023-09-26T12:35:24Z,0
41,The ufc will always be popular because dana white refuses to bend to the woke mob. Thats it. The moment he betrays that the ufc will be like every other league.,2023-09-26T12:30:41Z,0
42,This is the best ❤,2023-09-26T07:15:22Z,0
43,"Chatri is a guy who really saw problems in Muay Thai especially how fighters are still poor even with 200-300 fights in their careers, and fixed it. Now Muay Thai is on another level that Thai people wouldn't have thought before. He really changed lots of people's life, lots of respect for the guy.",2023-09-26T03:53:37Z,1
44,"Fire Dana White ASAP, he's stuck in the early 2000's.",2023-09-25T23:39:35Z,0
45,I agree but Rodtang just lost a BS decision so they're becoming trash already.,2023-09-25T22:55:14Z,0
