,Comments,Date,Likes
0,Back from Youtube Hell! Thanks for waiting out! You can watch an incredible documentary made by Todd Kellstein about Stamp Fairtex's Childhood Muay Thai Career here: https://guidedoc.tv/documentary/buffalo-girls-documentary-film/,2023-06-23T15:56:31Z,56
1,Watching this after angela lee retirement,2023-09-30T10:04:17Z,0
2,"08:06 stamp was manufactured LMAO at that tin can they put her up against for the contract.

what an absolute joke.",2023-09-30T08:55:02Z,0
3,I WISH we had these opportunities in the west,2023-09-28T23:15:41Z,0
4,I would like to say you have a great talent for telling stories! Thank you for all your hard work!,2023-09-28T22:38:19Z,0
5,Great documentary love how you went back and forth from both of their careers I been following both of them and liked to see where they came from as kids very well put together,2023-09-28T16:21:25Z,0
6,They need to make a movie about this.,2023-09-27T17:58:33Z,0
7,Goku and ChiChi🥹,2023-09-26T08:23:23Z,0
8,"""Ran out of opponents"" is one of the craziest lines I've heard 😂😂😂",2023-09-25T22:13:33Z,1
9,"This has always made me put off ever considering starting any sort of martial art. Not only do I think there'll only be pros, those who trained since childhood makes me too intimidated.",2023-09-25T19:47:43Z,0
10,"Really well done @mixedmartialacademic. There's something different about the production coming from ONE Championship, they're presentation is very artistic.",2023-09-25T06:13:25Z,0
11,"So... a ciswoman's idea of struggle is her boyfriend breaking up with her, losing a fight fair & square, all while having a massive multi-million dollar organization backing her? LMFAO. Fucking RICH.",2023-09-25T02:01:31Z,0
12,Stamp Got screwed on the first fight,2023-09-24T04:34:37Z,0
13,What a story and storytelling.,2023-09-22T06:01:51Z,0
14,Love stamp so much 😍🔥💪,2023-09-21T05:46:42Z,0
15,"That was a great documentary, very well produced. Told the story i a balanced way. Your team should be proud of this work. Beautiful story.
Take care One and All, GOD Bless you and yours. M",2023-09-18T21:19:31Z,0
16,She is so strong and humble.,2023-09-18T15:55:35Z,0
17,Really enjoyed watchin this.there both legends.,2023-09-14T21:15:46Z,0
18,I hey I have only just discovered this channel!!,2023-09-13T19:34:10Z,0
19,that 27min 55sec - 28min i got emotional when both of them tap as shown in the screen. I felt it😖 really the channel had made it emotional and many will get inspired from it,2023-09-11T00:39:08Z,0
20,this was awesome man thankyou,2023-09-10T14:46:24Z,0
21,"Children as young as 7 years old fighting for money? Thats crazy. Im all for using whatever means or skills you have to better your life, but paying 7 year old children to participate in combat sports in just wrong.",2023-09-10T13:28:45Z,0
22,"Rod def has a controlled anger fighting i assume thats how he got through fighting as a child, stamp just dont give a fuck and is way stronger than most girls she fights. Good to see rich franklin doing good work.",2023-09-05T19:58:23Z,0
