,Comments,Date,Likes
0,"🌍 Thinking of grabbing tickets for the Live Rematch 👉: https://bit.ly/OFN10AM DJ VS Moraes III
Thanks for watching boys! Consider supporting the channel by becoming a member or hitting me up on patreon 👉https://www.patreon.com/MMAacademic",2023-01-16T09:02:44Z,66
1,the UFC is starting to become a joke. it started out as something amazing and slowly started to become about money and only money. even dana admitted that he barely sold any fights so that's his whole reasoning for trading him for a dude who holds the record for taking the fastest ass whooping in the entire federation. amazing. not even about whos the best anymore.,2023-09-29T06:01:54Z,0
2,Thanks!,2023-09-27T04:46:21Z,0
3,Dam once you start going down the rabbit hole of fighters there’s no stop of how many legends are fighters.,2023-09-27T04:44:13Z,0
4,"Dam this guy is a genius fighter, I came here cuz I was watching a Rodtang documentary and this guy Fucd him up 😂😂",2023-09-27T04:40:25Z,0
5,"Lol what a shit trade , DJ for Ben askren",2023-09-27T03:58:58Z,0
6,"Didnt know mouse was a fellow synthwave enjoyer , gotta listen to that podcast",2023-09-26T12:57:07Z,0
7,Never really helped himself tho like as Dana said lowest selling ppv champion ever he wanted 2 million to fight TJ you’re not getting that cause you’re not worth that go up smash TJ and then ask for that money cause then you’d get it didn’t know how to play the game victim mentality and a lot of moaning had a great title defence streak against who? Anyone name the fighters? Compare to Jon Jones GSP etc and it’s a who’s who of names he never wanted to challenge himself in the UFC,2023-09-25T22:59:24Z,0
8,Glad he did better than his parents and married a woman who actually supported him and stayed with her.,2023-09-25T21:52:01Z,1
9,DJ is sum dude . Insane fighter with heart of a lion,2023-09-24T18:40:28Z,0
10,"DJ showed us One is better than UFC, thats all.",2023-09-24T18:15:02Z,0
11,This is a good video but man every time you try to get all poetic I cringe like hell. Can you just tell a story?,2023-09-22T16:34:24Z,1
12,"YouTube shorts made me loose interest in lengthy videos, stayed from start to end. Good video about a great athlete",2023-09-21T12:12:58Z,0
13,"Never saw such a beautiful counter plus that sleady steps right into a flying knee into the cage at UFC. DJ is class man, something kind of lacking in the UFC.",2023-09-19T07:29:30Z,0
14,DI is the real goat,2023-09-17T19:07:02Z,0
15,Did someone say cross country?? What were his 5k/3mile times im very curious,2023-09-17T14:58:06Z,0
16,"Dana's management is very childish. ONE is far more mature, but then again Pride and K1 were also amazing circuits and UFC only got as popular due to the lack of knowledge of Asian circuits for Western Audiences. MMA was such an exciting new novelty for them, it plunged UFC to instant popularity despite the extreme lack of maturity leading to many injuries, scandals, and infamous characters that make the face of UFC. Good fighters were blessed to be part of it and made a killing and legacy of couse. Iceman Lidell, GSP, Rampage Jackson so on. But also guys like Tito Ortiz, McGreggor, and Strickland make the circuit hard to watch seriously. Yes they're all good fighters, but are obnoxious AF. Unfortunately UFC values the drama they create and Dana puts them front center for hype often. Even the female division compared to ONE is not as mature.

It's good that Mighty Mouse got to go to a proper organization that takes care of its fighters more it seems. The way they promote is fun, it's relatable, it shows alot of respect. Their fighters seem to respect the audience, sport, and each other far more than UFC.

I think Dana just watched too much wrestling as a kid and tried shaping the UFC like a WWE style show but forgot that WWE is more acrobatic and showmanship than actual fighting.",2023-09-17T12:25:26Z,0
17,I think the division is what killed Johnson. There was no one exciting for him to fight. Gotta have good matchups and rivalries to get people wanting to watch.,2023-09-16T02:50:04Z,0
18,"Absolutely brilliant video, incredibly well done you should be proud of yourself, this id amazing!!!!!!!!",2023-09-15T12:51:27Z,2
19,"Outstanding writing and delivery…truly.  I,just jumped up and yelled at the KO…I’ve seen the KO before, but the writing had me all worked,up.😂",2023-09-14T19:45:54Z,1
20,What a shit trade,2023-09-14T05:26:02Z,1
21,All my homies love DJ,2023-09-14T04:15:32Z,1
22,"People need to call it was it is. Dana white always seem to have issues with his black champions. Same way he's always trying to put over irish fighters and sell them to the public. Its mind numbingly obvious, but heaven forbid we speak about obvious racism.",2023-09-13T17:05:47Z,0
23,"Dj and jon jones ...thats all i want to see in mma...no conor ,no khabib,no islam etc etc...",2023-09-12T20:48:49Z,0
24,Spanking and time out is abuse?😂😂😂😂,2023-09-12T15:10:34Z,0
25,"""we are not going to market you""
""OMG WHY IS NOBODY WATCHING YOU!?""

this was really big pinky brain moment for dana right there.",2023-09-12T12:27:41Z,1
26,"This was sooooooo good. 


End of line",2023-09-12T06:07:58Z,0
